Date,Open,High,Low,Close,Volume,Adj Close
6/3/2008,1408.971558,1408.971558,1408.971558,1408.971558,133518,1408.971558
6/4/2008,1383.092407,1383.092407,1383.092407,1383.092407,542504,1383.092407
6/5/2008,1357.213379,1357.213379,1357.213379,1357.213379,262520,1357.213379
6/6/2008,1331.334351,1331.334351,1331.334351,1331.334351,602284,1331.334351
6/9/2008,1305.4552,1305.4552,1305.4552,1305.4552,365136,1305.4552
6/10/2008,1279.576172,1279.576172,1279.576172,1279.576172,35074,1279.576172
6/11/2008,1256.57251,1256.57251,1256.57251,1256.57251,7249243,1256.57251
6/12/2008,1236.444336,1279.576172,1279.576172,1279.576172,5544827,1279.576172
6/13/2008,1302.579834,1302.579834,1302.579834,1302.579834,5458591,1302.579834
6/16/2008,1328.458862,1328.458862,1328.458862,1328.458862,829387,1328.458862
6/17/2008,1354.337891,1354.337891,1354.337891,1354.337891,519873,1354.337891
6/18/2008,1380.217041,1380.217041,1328.458862,1328.458862,14946124,1328.458862
6/19/2008,1328.458862,1328.458862,1291.078003,1291.078003,8514803,1291.078003
6/20/2008,1253.697144,1291.078003,1253.697144,1253.697144,3712413,1253.697144
6/23/2008,1291.078003,1291.078003,1291.078003,1291.078003,5057581,1291.078003
6/24/2008,1328.458862,1328.458862,1328.458862,1328.458862,6027179,1328.458862
6/25/2008,1365.839722,1365.839722,1365.839722,1365.839722,4472312,1365.839722
6/26/2008,1406.096069,1406.096069,1391.71875,1406.096069,13834317,1406.096069
6/27/2008,1408.971558,1437.726074,1380.217041,1437.726074,6348185,1437.726074
6/30/2008,1480.857788,1480.857788,1480.857788,1480.857788,124806,1480.857788
7/1/2008,1523.989624,1523.989624,1523.989624,1523.989624,689941,1523.989624
7/2/2008,1567.121338,1567.121338,1567.121338,1567.121338,1216468,1567.121338
7/3/2008,1610.253174,1610.253174,1610.253174,1610.253174,460748,1610.253174
7/4/2008,1653.384888,1653.384888,1653.384888,1653.384888,5178300,1653.384888
7/7/2008,1696.516724,1696.516724,1610.253174,1696.516724,28172224,1696.516724
7/8/2008,1667.762207,1739.64856,1653.384888,1739.64856,18755962,1739.64856
7/9/2008,1782.780273,1782.780273,1768.403076,1782.780273,20136255,1782.780273
7/10/2008,1825.912109,1825.912109,1825.912109,1825.912109,21022046,1825.912109
7/11/2008,1879.970581,1879.970581,1879.970581,1879.970581,26080345,1879.970581
7/14/2008,1936.329468,1936.329468,1936.329468,1936.329468,7618653,1936.329468
7/15/2008,1992.688232,1992.688232,1992.688232,1992.688232,6018914,1992.688232
7/16/2008,2032.94458,2032.94458,1992.688232,2032.94458,50275305,2032.94458
7/17/2008,2093.329102,2093.329102,2093.329102,2093.329102,1378886,2093.329102
7/18/2008,2153.713623,2153.713623,2093.329102,2153.713623,46763813,2153.713623
7/21/2008,2113.457275,2093.329102,2093.329102,2093.329102,23362764,2093.329102
7/22/2008,2032.94458,2032.94458,2032.94458,2032.94458,2747613,2032.94458
7/23/2008,1972.560181,1972.560181,1972.560181,1972.560181,3208409,1972.560181
7/24/2008,2012.816406,2012.816406,1916.201294,1932.303833,43668877,1932.303833
7/25/2008,1988.66272,1988.66272,1952.432007,1988.66272,17695323,1988.66272
7/28/2008,2032.94458,2032.94458,2032.94458,2032.94458,1699088,2032.94458
7/29/2008,2093.329102,2093.329102,2093.329102,2093.329102,321156,2093.329102
7/30/2008,2153.713623,2153.713623,2153.713623,2153.713623,4242033,2153.713623
7/31/2008,2214.098145,2214.098145,2214.098145,2214.098145,7148660,2214.098145
8/1/2008,NA,NA,NA,NA,NA,NA
8/4/2008,NA,NA,NA,NA,NA,NA
8/5/2008,NA,NA,NA,NA,NA,NA
8/6/2008,NA,NA,NA,NA,NA,NA
8/7/2008,NA,NA,NA,NA,NA,NA
8/8/2008,NA,NA,NA,NA,NA,NA
8/11/2008,NA,NA,NA,NA,NA,NA
8/12/2008,NA,NA,NA,NA,NA,NA
8/13/2008,NA,NA,NA,NA,NA,NA
8/14/2008,NA,NA,NA,NA,NA,NA
8/15/2008,NA,NA,NA,NA,NA,NA
8/18/2008,NA,NA,NA,NA,NA,NA
8/19/2008,NA,NA,NA,NA,NA,NA
8/20/2008,NA,NA,NA,NA,NA,NA
8/21/2008,NA,NA,NA,NA,NA,NA
8/22/2008,NA,NA,NA,NA,NA,NA
8/25/2008,NA,NA,NA,NA,NA,NA
8/26/2008,NA,NA,NA,NA,NA,NA
8/27/2008,NA,NA,NA,NA,NA,NA
8/28/2008,NA,NA,NA,NA,NA,NA
8/29/2008,NA,NA,NA,NA,NA,NA
9/1/2008,NA,NA,NA,NA,NA,NA
9/2/2008,NA,NA,NA,NA,NA,NA
9/3/2008,NA,NA,NA,NA,NA,NA
9/4/2008,NA,NA,NA,NA,NA,NA
9/5/2008,NA,NA,NA,NA,NA,NA
9/8/2008,2415.379639,2576.405029,2415.379639,2495.892334,27758581,2495.892334
9/9/2008,2536.148682,2596.533203,2455.635986,2536.148682,16206609,2536.148682
9/10/2008,2576.405029,2576.405029,2435.507813,2455.635986,11297825,2455.635986
9/11/2008,2375.123535,2435.507813,2375.123535,2395.251465,15493426,2395.251465
9/12/2008,2294.61084,2375.123535,2294.61084,2294.61084,34556271,2294.61084
9/15/2008,2395.251465,2395.251465,2334.867188,2395.251465,16592161,2395.251465
9/16/2008,2455.635986,2455.635986,2294.61084,2294.61084,24403088,2294.61084
9/17/2008,2214.098145,2254.354492,2214.098145,2214.098145,23557743,2214.098145
9/18/2008,2113.457275,2113.457275,2113.457275,2113.457275,14879357,2113.457275
9/19/2008,2214.098145,2214.098145,2214.098145,2214.098145,9748997,2214.098145
9/22/2008,2314.739014,2314.739014,2314.739014,2314.739014,210623,2314.739014
9/23/2008,2294.61084,2415.379639,2254.354492,2354.995361,63283930,2354.995361
9/24/2008,2334.867188,2354.995361,2274.482666,2274.482666,14362677,2274.482666
9/25/2008,2334.867188,2375.123535,2314.739014,2375.123535,33323433,2375.123535
9/26/2008,2475.76416,2475.76416,2375.123535,2455.635986,50848855,2455.635986
9/29/2008,2334.867188,2455.635986,2334.867188,2354.995361,32243356,2354.995361
9/30/2008,2254.354492,2254.354492,2254.354492,2254.354492,825685,2254.354492
10/1/2008,2294.61084,2314.739014,2153.713623,2173.841797,37733178,2173.841797
10/2/2008,2173.841797,2234.226318,2113.457275,2173.841797,22474938,2173.841797
10/3/2008,2113.457275,2173.841797,2113.457275,2113.457275,17068100,2113.457275
10/6/2008,2053.072754,2053.072754,2008.790771,2008.790771,17528882,2008.790771
10/7/2008,1912.175659,1912.175659,1912.175659,1912.175659,8493291,1912.175659
10/8/2008,1819.58606,1819.58606,1819.58606,1819.58606,12805160,1819.58606
10/9/2008,1731.022095,1831.662964,1731.022095,1731.022095,27414297,1731.022095
10/10/2008,1646.483887,1646.483887,1646.483887,1646.483887,3483897,1646.483887
10/13/2008,1598.17627,1646.483887,1565.971191,1565.971191,20019687,1565.971191
10/14/2008,1642.458252,1642.458252,1642.458252,1642.458252,1503089,1642.458252
10/15/2008,1722.970947,1722.970947,1610.253174,1722.970947,27903167,1722.970947
10/16/2008,1638.432617,1710.894043,1638.432617,1670.637695,12481240,1670.637695
10/17/2008,1670.637695,1690.765869,1662.586426,1678.688965,11917844,1678.688965
10/20/2008,1670.637695,1670.637695,1618.304443,1622.330078,8326618,1622.330078
